Classe,Número,Link,Url,Relator Atual,Nome Ministro (a),Tipo Decisão,Orgão Julgador,Data Autuação,Indicador de  Processo em Tramitação,Data Baixa,Subgrupo Andamento Comissão,Andamento,Observação Andamento,Ramo Direito Novo,Assuntos,Classificação,Origem:,Relator:,Redator do acórdão:,Relator do último incidente:,REQTE.(S),ADV.(A/S),INTDO.(A/S),PROC.(A/S)(ES)
ADI,6061,ADI-6061,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5621736,MIN. NUNES MARQUES,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,25/1/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","""Presentes, na espécie, os requisitos autorizadores
da instauração do procedimento abreviado, a que se refere o art. 12 da
Lei nº 9.868/99, ouça-se, no prazo de 10 (dez) dias, o órgão de que
emanou o diploma ora impugnado nesta sede de controle normativo
abstrato: a Augusta Assembleia Legislativa do Estado do Ceará.
Publique-se.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORÇAMENTO",Decisões,,,,,,,,
ADI,6062,ADI-6062,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5621736,MIN. ROBERTO BARROSO,MIN. ROBERTO BARROSO,COLEGIADA,TRIBUNAL PLENO,31/1/2019,Sim,,Decisão Liminar,Liminar referendada,"Decisão: O Tribunal, por unanimidade, superou a preliminar e ratificou a medida cautelar postulada, para suspender o art. 1º da MP nº 886/2019, no que respeita às seguintes expressões: (i) ""terras indígenas"", constante do art. 21, inciso XIV; (ii) ""e das terras tradicionalmente ocupadas por indígenas"", constante do art. 21, § 2º; e (iii) ""observado o disposto no inciso XIV do caput e no § 2º do art. 21"", constante do art. 37, inciso XXI. Fixou-se, ainda, o seguinte entendimento: ""Nos termos expressos da Constituição, é vedada a reedição, na mesma sessão legislativa, de medida provisória que tenha sido rejeitada. Com a concessão da presente cautelar, subsiste o tratamento normativo anterior, com vinculação da FUNAI ao Ministério da Justiça"", nos termos do voto do Relator. Falaram: pelo requerente, o Dr. Daniel Antônio de Moraes Sarmento; pela Advocacia-Geral da União, a Dra. Izabel Andrade, Advogada da União; e, pela Procuradoria-Geral da República, a Dra. Raquel Elias Ferreira Dodge, ",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | DOMÍNIO PÚBLICO | TERRAS INDÍGENAS",Decisões,,,,,,,,
ADI,6062,ADI-6062,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623726,MIN. ROBERTO BARROSO,MIN. ROBERTO BARROSO,MONOCRÁTICA,MIN. ROBERTO BARROSO,31/1/2019,Sim,,Decisão Liminar,Liminar deferida,"""(...)Por todo o exposto, recebo o pedido de aditamento da inicial. Ademais, diante do teor expresso do art. 62, §10, CF/1988, dos precedentes do Supremo Tribunal Federal e da inequívoca manifestação do Congresso Nacional sobre a matéria, defiro a cautelar postulada para suspender o art. 1º da MP nº 886/2019, na parte em que altera os artigos 21, inc. XIV e § 2º, e 37, XXI, da Lei nº 13.844/2019. Ao plenário, com urgência, para referendo da cautelar.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | DOMÍNIO PÚBLICO | TERRAS INDÍGENAS",Decisões,,,,,,,,
ADI,6062,ADI-6062,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623726,MIN. ROBERTO BARROSO,MIN. ROBERTO BARROSO,MONOCRÁTICA,MIN. ROBERTO BARROSO,31/1/2019,Sim,,Decisão Liminar,Liminar indeferida,"""(...) Diante do exposto, indefiro, por ora, a cautelar, sem prejuízo da
reapreciação da matéria, à vista da evolução dos fatos.""",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | DOMÍNIO PÚBLICO | TERRAS INDÍGENAS",Decisões,,,,,,,,
ADI,6063,ADI-6063,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623726,MIN. NUNES MARQUES,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,1/2/2019,Sim,,Decisão Interlocutória,Deferido,"em 25.09.2020: ""Admito, na condição de “amicus curiae”, o Partido
Político Democracia Cristã – DC , eis que se acham atendidas, na espécie,
as condições que justificam a intervenção dessa entidade neste processo
de controle normativo abstrato. Proceda-se, desse modo, às anotações
pertinentes.(...)Publique-se.""",DIREITO ELEITORAL,1 - DIREITO ELEITORAL | PARTIDOS POLÍTICOS | COLIGAÇÃO PARTIDÁRIA |COLIGAÇÃO PARTIDÁRIA - PROPORCIONAL,Decisões,,,,,,,,
ADI,6063,ADI-6063,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623961,MIN. NUNES MARQUES,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,1/2/2019,Sim,,Decisão Interlocutória,Deferido,"em 25.09.2020: ""Admito, na condição de “amicus curiae”, o Partido
Trabalhista Cristão – PTC, eis que se acham atendidas, na espécie, as
condições que justificam a intervenção dessa entidade neste processo de
controle normativo abstrato. Proceda-se, desse modo, às anotações
pertinentes.(...)Publique-se.""",DIREITO ELEITORAL,1 - DIREITO ELEITORAL | PARTIDOS POLÍTICOS | COLIGAÇÃO PARTIDÁRIA |COLIGAÇÃO PARTIDÁRIA - PROPORCIONAL,Decisões,,,,,,,,
ADI,6063,ADI-6063,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623961,MIN. NUNES MARQUES,MIN. CELSO DE MELLO,MONOCRÁTICA,MIN. CELSO DE MELLO,1/2/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","em 25.09.2020: ""Presentes, na espécie, os requisitos autorizadores da
instauração do procedimento abreviado, a que se refere o art. 12 da
Lei nº 9.868/99, ouçam-se, no prazo de 10 (dez) dias, os órgãos de que
emanaram os preceitos normativos ora impugnados nesta sede de controle
normativo abstrato: os Senhores Presidentes da Câmara dos Deputados e
do Senado Federal.
Publique-se.""",DIREITO ELEITORAL,1 - DIREITO ELEITORAL | PARTIDOS POLÍTICOS | COLIGAÇÃO PARTIDÁRIA |COLIGAÇÃO PARTIDÁRIA - PROPORCIONAL,Decisões,,,,,,,,
ADI,6064,ADI-6064,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5623961,MIN. ROSA WEBER,MIN. ROSA WEBER,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,1/2/2019,Sim,,Decisão Final,Procedente em parte,"Decisão: O Tribunal, por maioria, conheceu da ação direta e julgou parcialmente procedente o pedido formulado para declarar a inconstitucionalidade formal dos arts. 3º, 4º, caput e parágrafo único, e 5º da Lei nº 7.871/2018 do Estado do Rio de Janeiro, nos termos do voto da Relatora, vencidos os Ministros Marco Aurélio e Edson Fachin, que julgavam improcedente o pedido. Falou, pela requerente, o Dr. Gustavo Henrique Caputo Bastos. Plenário, Sessão Virtual de 13.11.2020 a 20.11.2020.",DIREITO DO CONSUMIDOR,1 - DIREITO DO CONSUMIDOR | CONTRATOS DE CONSUMO | TELEFONIA,Decisões,,,,,,,,
ADI,6064,ADI-6064,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624176,MIN. ROSA WEBER,MIN. ROSA WEBER,MONOCRÁTICA,MIN. ROSA WEBER,1/2/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99",,DIREITO DO CONSUMIDOR,1 - DIREITO DO CONSUMIDOR | CONTRATOS DE CONSUMO | TELEFONIA,Decisões,,,,,,,,
ADI,6065,ADI-6065,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624176,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,1/2/2019,Sim,,Decisão Final,Procedente,"Decisão: O Tribunal, por maioria, julgou procedente o pedido formulado na ação direta para declarar a inconstitucionalidade da Lei nº 8.003, de 25 de junho de 2018, do Estado do Rio de Janeiro, nos termos do voto do Ministro Dias Toffoli, Redator para o acórdão, vencidos os Ministros Marco Aurélio (Relator), Edson Fachin, Ricardo Lewandowski, Alexandre de Moraes e Rosa Weber. Plenário, Sessão Virtual de 2.10.2020 a 9.10.2020.",DIREITO DO CONSUMIDOR,1 - DIREITO DO CONSUMIDOR | CONTRATOS DE CONSUMO | TELEFONIA,Decisões,,,,,,,,
ADI,6065,ADI-6065,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624177,MIN. MARCO AURÉLIO,MIN. MARCO AURÉLIO,MONOCRÁTICA,MIN. MARCO AURÉLIO,1/2/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","Em 4/2/2019: ""(...) 3. Aciono o disposto no artigo 12 da Lei nº 9.868/1999. Providenciem as informações, a manifestação da Advocacia-Geral da União e o parecer da Procuradoria-Geral da República.

4. Publiquem.""",DIREITO DO CONSUMIDOR,1 - DIREITO DO CONSUMIDOR | CONTRATOS DE CONSUMO | TELEFONIA,Decisões,,,,,,,,
ADI,6066,ADI-6066,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624177,MIN. EDSON FACHIN,MIN. EDSON FACHIN,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,1/2/2019,Não,19/8/2020,Decisão Final,Improcedente,"Decisão: O Tribunal, por maioria, julgou improcedente o pedido formulado na ação direta, nos termos do voto do Relator, vencidos os Ministros Gilmar Mendes, Rosa Weber, Celso de Mello, Dias Toffoli (Presidente) e Roberto Barroso. Plenário, Sessão Virtual de 24.4.2020 a 30.4.2020.",DIREITO DO CONSUMIDOR,1 - DIREITO DO CONSUMIDOR | CONTRATOS DE CONSUMO | TELEFONIA,Decisões,,,,,,,,
ADI,6066,ADI-6066,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624209,MIN. EDSON FACHIN,MIN. EDSON FACHIN,MONOCRÁTICA,MIN. EDSON FACHIN,1/2/2019,Não,19/8/2020,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99","Em 26/2/2019. ""Ante o exposto, adoto o rito previsto no artigo 12 da Lei 9.868/1999, a fim de possibilitar ao Supremo Tribunal Federal a análise definitiva da questão. Assim sendo, requisitem-se informações à Assembleia Legislativa do Estado de São Paulo, no prazo de 10 (dez) dias e, após, colham-se as manifestações do Advogado-Geral da União e da Procuradora-Geral da República, sucessivamente, no prazo de 05 (cinco) dias. Publique-se.""
",DIREITO DO CONSUMIDOR,1 - DIREITO DO CONSUMIDOR | CONTRATOS DE CONSUMO | TELEFONIA,Decisões,,,,,,,,
ADI,6067,ADI-6067,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624209,MIN. GILMAR MENDES,MIN. GILMAR MENDES,MONOCRÁTICA,MIN. GILMAR MENDES,1/2/2019,Sim,,Decisão Liminar,"Adotado rito do Art. 12, da Lei 9.868/99",em 07/02,DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,"1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE2 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | ORGANIZAÇÃO POLÍTICO-ADMINISTRATIVA /",Decisões,,,,,,,,
ADI,6068,ADI-6068,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5624378,MIN. CÁRMEN LÚCIA,MIN. CÁRMEN LÚCIA,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,5/2/2019,Não,19/10/2020,Decisão em recurso interno,Embargos rejeitados,"Decisão: O Tribunal, por unanimidade, rejeitou os embargos de declaração, nos termos do voto da Relatora. Não participou deste julgamento, por motivo de licença médica, o Ministro Celso de Mello. Plenário, Sessão Virtual de 11.9.2020 a 21.9.2020.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,Decisões,,,,,,,,
ADI,6068,ADI-6068,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5625383,MIN. CÁRMEN LÚCIA,MIN. CÁRMEN LÚCIA,COLEGIADA,TRIBUNAL PLENO - SESSÃO VIRTUAL,5/2/2019,Não,19/10/2020,Decisão Final,Procedente,"Decisão: O Tribunal, por maioria, converteu o julgamento da cautelar em definitivo de mérito e julgou procedente o pedido formulado na ação direta para declarar a inconstitucionalidade da Lei nº 17.691/2019 de Santa Catarina, nos termos do voto da Relatora, vencido o Ministro Marco Aurélio. O Ministro Edson Fachin acompanhou a Relatora com ressalvas. Não participou deste julgamento, por motivo de licença médica no início da sessão, o Ministro Celso de Mello (art. 2º, § 5º, da Res. 642/2019). Plenário, Sessão Virtual de 10.4.2020 a 17.4.2020.",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,Decisões,,,,,,,,
ADI,6068,ADI-6068,http://www.stf.jus.br/portal/processo/verProcessoAndamento.asp?incidente=5625383,MIN. CÁRMEN LÚCIA,MIN. CÁRMEN LÚCIA,MONOCRÁTICA,MIN. CÁRMEN LÚCIA,5/2/2019,Não,19/10/2020,Decisão Interlocutória,Indeferido,"""(...) o requerimento de retirada da presente
ação da pauta da sessão virtual (...).",DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO,1 - DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO | CONTROLE DE CONSTITUCIONALIDADE | PROC,Decisões,,,,,,,,
